"id","nombre"
"16170","MASTER SUITE 2 CAMAS INDIVIDUAIS <U><I>BED TYPE AREN'T GUARANTEED</I></U> <U>NON REFUNDABLE</U> + PROMOÇÃO PRIVADA: POUPE 10%"
"12288","MELIA GUESTROOM"
"14234","MELIA GUESTROOM   TARIFA EMPAQUETADA    NO REEMBOLSABLE"
"12253","MELIA GUESTROOM + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED"
"15742","MELIA GUESTROOM 1 CAMA QUEEN SIZE <U><I>BED TYPE AREN'T GUARANTEED</I></U>"
"15743","MELIA GUESTROOM 2 CAMAS INDIVIDUAIS <U><I>BED TYPE AREN'T GUARANTEED</I></U>"
"1566","MELIA KING BED   PACKAGE RATE"
"12672","MELIA ROOM"
"4341","MELIÁ ROOM (WITH VIEW)"
"12641","MELIA ROOM + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED"
"11632","MELIA ROOM NON REFUNDABLE"
"1258","MELIA ROOM ROOM 1 KING BED"
"1257","MELIA ROOM ROOM 2 TWIN BEDS"
"6105","MELIA ROOM, HABITACIÓN CLÁSICA"
"11713","MEZZANINE KING SIZE BED"
"11673","MEZZANINE SUITE WITH KING SIZE BED"
"13428","MEZZANINE SUITE WITH KING SIZE BED   BREAKFAST INCLUDED IN THE PRICE"
"11688","MEZZANINE SUITE WITH KING SIZE BED  BREAKFAST INCLUDED IN THE PRICE"
"3142","Miércoles 2 noches -- Domingo 3 noches"
"13983","MINI DOUBLE ROOM (FULL DOUBLE BED)"
"14021","MINI DOUBLE ROOM (FULL DOUBLE BED) (SMALL)"
"13871","MINI DOUBLE ROOM (INTERIOR VIEW)"
"14566","MINI ROOM BB"
"14561","MINI ROOM BB   NRF"
"13872","MINI SINGLE ROOM (INTERIOR VIEW)"
"8993","NARCISSE"
"8971","NARCISSE + EXCLUSIVE DISCOUNT"
"3948","NOT REFUNDABLE.1 X DOUBLE/TWIN (2 PEOPLE)"
"17014","OCEAN KING"
"17011","OCEAN KING FLASH SALE"
"17001","OCEAN VIEW ROOM"
"12983","ONE BED STANDARD APARTMENT (HOUSE OF SPANISH)"
"12851","ONE BEDROOM APARTMENT"
"14612","ONE BEDROOM APARTMENT    NO REEMBOLSABLE"
"13636","ONE BEDROOM APARTMENT   NON REFUNDABLE"
"14617","ONE BEDROOM APARTMENT   TARIFA EMPAQUETADA"
"14608","ONE BEDROOM APARTMENT   TARIFA EMPAQUETADA    NO REEMBOLSABLE"
"12876","ONE BEDROOM APARTMENT CITY VIEW"
"13657","ONE BEDROOM APARTMENT STANDARD (2A)"
"12098","ONE BEDROOM PREMIUM DELUXE APARTMENT"
"12097","ONE BEDROOM PREMIUM DELUXE APARTMENT RO NRF"
"429","ONE BEDROOM REDLEVEL MASTER SUITE"
"427","ONE BEDROOM REDLEVEL SUITE"
"3377","ONE BEDROOM SUITE"
"299","ONE BEDROOM SUITE REDLEVEL 2 ADULTS"
"972","Oporto - Santiago de Compostela | 14 días"
"1060","Oporto - Santiago de Compostela 2025| 14 días"
"14950","PALACE DELUXE (DOUBLE) (FOR 1 ADULTS, 0 CHILDREN AND 0 INFANTS)"
"12770","PALACE DELUXE ROOM"
"15362","PALACE DELUXE ROOM BB"
"12323","PALACE ROOM"
"14298","PALACE ROOM    NO REEMBOLSABLE"
"15183","PALACE ROOM   NON REFUNDABLE 10%"
"269","PALACE ROOM, 2 TWIN BEDS"
"14443","PALACE SUPERIOR"
"11807","PALACE SUPERIOR ROOM"
"15360","PALACE SUPERIOR ROOM BB"
"6479","PARIS EIFFEL TOWER ROOM,1 DOUBLE BED,NONSMOKING + BOOK NOW AND SAVE"
"9460","PARIS EIFFEL TOWER ROOM,1 DOUBLE BED,NONSMOKING + SAVE10%"
"6480","PARIS EIFFEL TOWER ROOM,2 TWIN BEDS,NONSMOKING + BOOK NOW AND SAVE"
"9461","PARIS EIFFEL TOWER ROOM,2 TWIN BEDS,NONSMOKING + SAVE10%"
"12692","PATIO ROOM"
"14429","PATIO ROOM    NO REEMBOLSABLE"
"12664","PATIO ROOM + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED"
"11861","PEDRO LEITAO SUITE KING PANORAMIC VIEWS OF THE CITY LOCATED 7TH FLOOR 1890"
"979","Pensión Completa sin bebidas"
"825","PENTHOUSE FITNESS SUITE"
"827","PENTHOUSE JACUZZI SUITE"
"835","PENTHOUSE VILLA MEDICI"
"1324","PENTHOUSE, 2 BEDROOMS, TERRACE"
"16373","PENTHOUSE, 2 QUARTOS, VARANDA, VISTA PARA A CIDADE 2 CAMAS QUEEN SIZE + PREÇO PARA MEMBROS: 35%"
"16369","PENTHOUSE, 2 QUARTOS, VARANDA, VISTA PARA A CIDADE 2 CAMAS QUEEN SIZE <U>NON REFUNDABLE</U> + PREÇO PARA MEMBROS: 35%"
"16439","PEQUENO QUARTO INTERIOR 1 CAMA QUEEN SIZE + PROMOÇÃO PRIVADA: POUPE 14%"
"231","PETIT ROOM + ONLINE CHECKIN"
"11225","PETITE CASTELO PROMO"
"14296","PETITE CASTELO ROOM"
"15807","PETITE CASTELO ROOM 1 CAMA DE CASAL <U><I>BED TYPE AREN'T GUARANTEED</I></U> <U>NON REFUNDABLE</U> + PREÇO PARA MEMBROS: 36%"
"15813","PETITE CASTELO ROOM 1 CAMA DE CASAL <U><I>BED TYPE AREN'T GUARANTEED</I></U> <U>PACKAGE RATE</U> <U>NON REFUNDABLE</U> + PREÇO EXCLUSIVO PARA MEMBROS"
"15808","PETITE CASTELO ROOM 2 CAMAS INDIVIDUAIS EXTRAGRANDES <U><I>BED TYPE AREN'T GUARANTEED</I></U> <U>NON REFUNDABLE</U> + PREÇO PARA MEMBROS: 36%"
"11276","PETITE CASTELO ROOM NONREFUNDABLE"
"5427","PETITE CHAMBRE DOUBLE"
"5419","PETITE CHAMBRE DOUBLE + EXCLUSIVE DISCOUNT"
"5413","PETITE CHAMBRE DOUBLE + EXCLUSIVE DISCOUNT|NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED"
"5420","PETITE CHAMBRE DOUBLE + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED"
"6285","PETITE CHAMBRE DOUBLE,1 DOUBLE BED,NONSMOKING + BOOK NOW AND SAVE"
"9102","PETITE CHAMBRE DOUBLE,1 DOUBLE BED,NONSMOKING + SAVE 5%"
"11235","PETITE DOUBLE ROOM  2 TWIN BEDS"
"15760","PETITE DOUBLE ROOM 1 CAMA DE CASAL <U><I>BED TYPE AREN'T GUARANTEED</I></U> <U>NON REFUNDABLE</U> + PREÇO PARA MEMBROS: 30%"
"15761","PETITE DOUBLE ROOM 2 CAMAS INDIVIDUAIS <U><I>BED TYPE AREN'T GUARANTEED</I></U> <U>NON REFUNDABLE</U> + PREÇO PARA MEMBROS: 30%"
"15783","PETITE DOUBLE ROOM 2 CAMAS INDIVIDUAIS <U><I>BED TYPE AREN'T GUARANTEED</I></U> <U>PACKAGE RATE</U> <U>NON REFUNDABLE</U> + PREÇO EXCLUSIVO PARA MEMBROS"
"12340","PETITE ROOM"
"14438","POOL OR GARDEN ROOM"
"12732","POOL OR GARDEN VIEW ROOM"
"634","POOL VIEW ROOM   KING BED"
"635","POOL VIEW ROOM   TWIN BEDS"
"16960","PREFERRED CLUB DELUXE OCEAN VIEW 2 QUEENS"
"16961","PREFERRED CLUB DELUXE OCEAN VIEW KING"
"16963","PREFERRED CLUB DELUXE OCEAN VIEW PLUNGE POOL 2 QUEENS"
"16964","PREFERRED CLUB DELUXE OCEAN VIEW PLUNGE POOL KING"
"16962","PREFERRED CLUB HONEYMOON SUITE OCEAN VIEW KING"
"16965","PREFERRED CLUB MASTER SUITE OCEAN FRONT"
"11850","PREMIER CITY VIEW KING FLOOR 5 7 CITY VIEW FULL MARBLE BATHROOM FREE WIFI"
"11849","PREMIER CITY VIEW TWINS FLOOR 5 7 CITY VIEW FULL MARBLE BATHROOM FREE WIFI"
"324","PREMIER JUNIOR SUITE"
"11851","PREMIER PARK VIEW KING BED VARIOUS CITY VIEWS FULL MARBLE BATHROOM LOCATED 5 7TH"
"12784","PREMIER PARK VIEW ROOM KING"
"12783","PREMIER PARK VIEW ROOM TWIN BEDS"
"11852","PREMIER PARK VIEW TWIN BEDS VARIOUS CITY VIEWS FULL MARBLE BATHROOM LOCATED"
"464","PREMIER ROOM"
"13746","PREMIER ROOM (FULL DOUBLE BED)"
"13786","PREMIER ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY)"
"13771","PREMIER ROOM (FULL DOUBLE BED) (KING SIZE BED)"
"13804","PREMIER ROOM (FULL DOUBLE BED) (QUEEN SIZE BED)"
"1333","PREMIER SUITE"
"1399","PREMIER SUITE, BALCONY"
"424","PREMIUM"
"522","PREMIUM    NO REEMBOLSABLE"
"3263","PREMIUM (2PAX)"
"6772","PREMIUM APARTMENT,1 QUEEN BED AND 1 QUEEN SOFA BED,NONSMOKING + SAVE10%"
"9068","PREMIUM APARTMENT,1 QUEEN BED AND 1 QUEEN SOFA BED,NONSMOKING + SAVE20%"
"9063","PREMIUM APARTMENT,1 QUEEN BED AND 1 QUEEN SOFA BED,NONSMOKING + SAVE21%"
"1524","PREMIUM BB"
"738","PREMIUM CENTRAL COURT"
"892","PREMIUM CENTRAL COURT    NO REEMBOLSABLE"
"880","PREMIUM CENTRAL COURT   TARIFA EMPAQUETADA    NO REEMBOLSABLE"
"6130","PREMIUM COMFORT"
"6118","PREMIUM COMFORT 2 ADULTS"
"6210","PREMIUM CON TERRAZA"
"12648","PREMIUM DOUBLE OR TWIN"
"14145","PREMIUM DOUBLE OR TWIN ROOM"
"13385","PREMIUM DOUBLE OR TWIN ROOM , 1 DOUBLE BED + "
"13384","PREMIUM DOUBLE OR TWIN ROOM , 2 TWIN BEDS + "
"11734","PREMIUM DOUBLE OR TWIN ROOM (CASTLE AND RIVER VIEW)"
"11720","PREMIUM DOUBLE OR TWIN ROOM (CASTLE AND RIVER VIEW) NONREFUNDABLE"
"11742","PREMIUM DOUBLE OR TWIN ROOM WITH RIVER AND CASTLE VIEW  NONREFUNDABLE"
"11751","PREMIUM DOUBLE OR TWIN ROOM WITH RIVER AND CASTLE VIEW  NONREFUNDABLE  BREAKFAST INCLUDED IN THE PRICE"
"14146","PREMIUM DOUBLE OR TWIN ROOM WITH TERRACE"
"1196","PREMIUM DOUBLE ROOM"
"1243","PREMIUM DOUBLE ROOM   ADVANCE   NON REFUNDABLE"
"15019","PREMIUM DOUBLE ROOM   ROMANTIC OFFER   BREAKFAST INCLUDED IN THE PRICE"
"14154","PREMIUM DOUBLE ROOM (CITY VIEW)"
"13913","PREMIUM DOUBLE ROOM (FULL DOUBLE BED)"
"13951","PREMIUM DOUBLE ROOM (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY)"
"1195","PREMIUM DOUBLE ROOM 2 PEOPLE"
"1247","PREMIUM DOUBLE ROOM BB"
"1246","PREMIUM DOUBLE ROOM BB   ADVANCE   NON REFUNDABLE"
"12695","PREMIUM DOUBLE ROOM SINGLE USE"
"13996","PREMIUM DOUBLE ROOM WITH BALCONY (FULL DOUBLE BED)"
"13982","PREMIUM DOUBLE ROOM WITH BALCONY (FULL DOUBLE BED) (BED TYPE IS SUBJECT TO AVAILABILITY)"
"2923","PREMIUM DOUBLE ROOM WITH RIVER VIEW BALCONY (2 ADULTS)."
"13977","PREMIUM DOUBLE ROOM WITH SEA VIEW (FULL DOUBLE BED)"
"5041","PREMIUM DOUBLE ROOM WITH VIEW"
"5048","PREMIUM DOUBLE ROOM WITH VIEW   BREAKFAST INCLUDED IN THE PRICE"
"2040","PREMIUM DOUBLE ROOM, 1 DOUBLE BED (PARKING)"
"1191","PREMIUM DOUBLE ROOM, 1 QUEEN BED"
"2925","PREMIUM DOUBLE ROOM, BALCONY, RIVER VIEW"
"14064","PREMIUM DOUBLE SUITE"
"14061","PREMIUM DOUBLE SUITE (FULL DOUBLE BED) (QUEEN SIZE BED)"
"15209","PREMIUM DOUBLE/TWIN ROOM"
"15198","PREMIUM DOUBLE/TWIN ROOM BB   NON REFUNDABLE"
"15203","PREMIUM DOUBLE/TWIN ROOM RO"
"509","PREMIUM EMPEROR"
"510","PREMIUM EMPRESS"
"11209","PREMIUM JUNIOR SUITE  SEA VIEW"
"503","PREMIUM KING BED"
"523","PREMIUM KING BED   TARIFA EMPAQUETADA"
"343","PREMIUM KING SIZE BED (PREMIUM KING SIZE BED) + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED"
"11680","PREMIUM NON REFUNDABLE"
"12224","PREMIUM OCEAN FRONT/1DBL/NON SMOKING"
"11131","PREMIUM OCEAN FRONT/1DBL/NONSMOKING"
"3314","PREMIUM PLAZA VIEWS"
"1594","PREMIUM QUADRUPLE ROOM"
"14059","PREMIUM QUADRUPLE SUITE"
"1522","PREMIUM RO"
"420","PREMIUM ROOM"
"482","PREMIUM ROOM    NO REEMBOLSABLE"
"15334","PREMIUM ROOM   NON REFUNDABLE"
"940","PREMIUM ROOM   TARIFA EMPAQUETADA"
"354","PREMIUM ROOM   TARIFA EMPAQUETADA    NO REEMBOLSABLE"
"11764","PREMIUM ROOM  2 TWIN BEDS  OCEAN VIEW"
"11196","PREMIUM ROOM  LATERAL SEA VIEW"
"11246","PREMIUM ROOM  SEA VIEW"
"421","PREMIUM ROOM (2AD+1CH)"
"418","PREMIUM ROOM (2AD+1CH) + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED"
"4350","PREMIUM ROOM (CITY VIEW)"
"81","PREMIUM ROOM + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED"
"12344","PREMIUM ROOM 1 ADULT"
"11187","PREMIUM ROOM 1 DOUBLE BED NON SMOKING OCEANFRONT"
"11289","PREMIUM ROOM 1 QUEEN BED POOL ACCESS"
"11279","PREMIUM ROOM 1 QUEEN BED POOL ACCESS NONREFUNDABLE"
"11218","PREMIUM ROOM 2 TWIN BEDS NON SMOKING OCEANFRONT"
"11745","PREMIUM ROOM 2 TWIN BEDS OCEAN VIEW"
"11725","PREMIUM ROOM 2 TWIN BEDS OCEAN VIEW NONREFUNDABLE"
"11286","PREMIUM ROOM 2 TWIN BEDS POOL ACCESS"
"11270","PREMIUM ROOM 2 TWIN BEDS POOL ACCESS NONREFUNDABLE"
"15195","PREMIUM ROOM BB"
"15337","PREMIUM ROOM BB NON REFUNDABLE"
"485","PREMIUM ROOM CLUB LOUNGE ACCESS"
"15212","PREMIUM ROOM FB"
"15204","PREMIUM ROOM HB"
"360","PREMIUM ROOM NON REFUNDABLE"
"15330","PREMIUM ROOM RO NON REFUNDABLE"
"12704","PREMIUM ROOM SINGLE USE"
"14005","PREMIUM ROOM WITH BALCONY"
"13989","PREMIUM ROOM WITH BALCONY NON REFUNDABLE"
"12312","PREMIUM ROOM WITH EXPO VIEW"
"14250","PREMIUM ROOM WITH EXPO VIEW   TARIFA EMPAQUETADA    NO REEMBOLSABLE"
"12280","PREMIUM ROOM WITH EXPO VIEW + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED"
"11716","PREMIUM ROOM WITH KING SIZE BED"
"13438","PREMIUM ROOM WITH KING SIZE BED   BREAKFAST INCLUDED IN THE PRICE"
"11724","PREMIUM ROOM WITH KING SIZE BED  BREAKFAST INCLUDED IN THE PRICE"
"12698","PREMIUM ROOM WITH RIVER AND CASTLE VIEW"
"11717","PREMIUM ROOM WITH RIVER AND CASTLE VIEW NON REFUNDABLE"
"1164","PREMIUM ROOM WITH TERRACE   PACKAGE RATE"
"603","PREMIUM ROOM WITH VIEW"
"604","PREMIUM ROOM WITH VIEW AND TERRACE"
"6109","PREMIUM ROOM, 1 KING BED    NO REEMBOLSABLE"
"6108","PREMIUM ROOM, 1 KING BED   TARIFA EMPAQUETADA    NO REEMBOLSABLE"
"3082","PREMIUM ROOM, 1 KING BED, CITY VIEW"
"11624","PREMIUM SINGLE (FOR 1 ADULTS 0 CHILDREN AND 0 INFANTS)"
"13447","PREMIUM SINGLE *"
"14063","PREMIUM SINGLE APARTMENT"
"13978","PREMIUM SINGLE ROOM"
"13995","PREMIUM SINGLE ROOM NON REFUNDABLE"
"14017","PREMIUM SINGLE ROOM WITH SEA VIEW"
"14053","PREMIUM SINGLE SUITE"
"12687","PREMIUM SINGLE USE"
"13478","PREMIUM STUDIO"
"13687","PREMIUM STUDIO , 2 TWIN BEDS + "
"14089","PREMIUM STUDIO NON REFUNDABLE"
"6695","PREMIUM STUDIO,1 QUEEN BED,NONSMOKING"
"6693","PREMIUM STUDIO,1 QUEEN BED,NONSMOKING + SAVE10%"
"11357","PREMIUM SUITE"
"12479","PREMIUM SUITE  (2 AD + 1 CH)"
"12476","PREMIUM SUITE  (2 AD + 1 CH) + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED"
"12483","PREMIUM SUITE (1 AD)"
"12480","PREMIUM SUITE (1 AD) + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED"
"12488","PREMIUM SUITE (3 AD)"
"12486","PREMIUM SUITE (3 AD) + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED"
"12477","PREMIUM SUITE + NONREFUNDABLE RATE. NO AMENDMENTS PERMITTED"
"11248","PREMIUM SUITE 1 QUEEN BED NON SMOKING OCEAN VIEW"
"11800","PREMIUM SUITE T2"
"2055","PREMIUM SUITE, 1 BEDROOM, PRIVATE BATHROOM"
"1343","PREMIUM SUITE, BALCONY"
"1194","PREMIUM TWIN 2 PEOPLE"
"1190","PREMIUM TWIN ROOM"
"1272","PREMIUM TWIN ROOM (PARKING)"
"14302","PREMIUM VISTAS"
"506","PREMIUM WITH BALCONY"
"431","PRESIDENTIAL PENTHOUSE REDLEVEL SUITE"
"2128","PRESIDENTIAL SUITE"
"11401","PRESIDENTIAL SUITE  CLUB LOUNGE ACCESS  1 BEDROOM PRESIDENTIAL SUITE  1 KING  SKYLINE VIEW"
"11853","PRESIDENTIAL SUITE (KING SIZE BED)"
"1495","PRESIDENTIAL SUITE 1 BEDROOM"
"11400","PRESIDENTIAL SUITE 1 KING BED NON SMOKING NONREFUNDABLE"
"11838","PRESIDENTIAL SUITE WITH KING SIZE BED"
"11839","PRESIDENTIAL SUITE WITH KING SIZE BED  BREAKFAST INCLUDED IN THE PRICE"
"744","PRESTIGE ROOM"
"804","PRESTIGE ROOM   KING OR TWIN BED"
"881","PRESTIGE ROOM   TARIFA EMPAQUETADA    NO REEMBOLSABLE"
"6473","PRESTIGE ROOM,1 KING BED,NONSMOKING + BOOK NOW AND SAVE"
"9448","PRESTIGE ROOM,1 KING BED,NONSMOKING + SAVE10%"
"6474","PRESTIGE ROOM,2 TWIN BEDS,NONSMOKING + BOOK NOW AND SAVE"
"9447","PRESTIGE ROOM,2 TWIN BEDS,NONSMOKING + SAVE10%"
"11391","PRESTIGE SUITE"
"12497","PRESTIGE SUITE, 1 KING SIZE BED, LOUNGE, HIGH FLOOR"
"6739","PRESTIGE SUITE,1 DOUBLE BED,NONSMOKING + PRIVATE SALE"
"6747","PRESTIGE SUITE,1 DOUBLE BED,NONSMOKING + PRIVATE SALE: SAVE 10%"
"6458","PRESTIGE SUITE,1 QUEEN BED,NONSMOKING + BOOK NOW AND SAVE"
"8838","PRESTIGE SUITE,1 QUEEN BED,NONSMOKING + SAVE10%"
"6741","PRESTIGE SUITE,2 TWIN BEDS,NONSMOKING + PRIVATE SALE"
"6748","PRESTIGE SUITE,2 TWIN BEDS,NONSMOKING + PRIVATE SALE: SAVE 10%"
"15949","PRESTIGE TEJO 1 CAMA QUEEN SIZE"
"807","PRESTIGE VIEW   KING OR TWIN BED"
"16987","PRIME SUITE"
"6686","PRIVILEGE DOUBLE OR TWIN,1 QUEEN BED,NONSMOKING + PRIVATE SALE"
"6689","PRIVILEGE DOUBLE OR TWIN,1 QUEEN BED,NONSMOKING + PRIVATE SALE: SAVE 10%"
"6685","PRIVILEGE DOUBLE OR TWIN,2 TWIN BEDS,NONSMOKING + PRIVATE SALE"
"6690","PRIVILEGE DOUBLE OR TWIN,2 TWIN BEDS,NONSMOKING + PRIVATE SALE: SAVE 10%"
"5545","PRIVILEGE ROOM + EARLY BOOKING DISCOUNT"
"5539","PRIVILEGE ROOM + EXCLUSIVE DISCOUNT"
"12255","PRIVILEGE ROOM WITH TWIN BEDS"
"6350","PRIVILEGE ROOM,1 DOUBLE BED,NONSMOKING + SAVE10%"
